Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
1/11/2019,4500144603,10,,Car Insurance,1,JOB,THB,"16,146.17","16,146.17",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
1/11/2019,4500144603,20,,Car Insurance,1,JOB,THB,"14,888.41","14,888.41",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
1/11/2019,4500144603,30,,Car Insurance,1,JOB,THB,"29,705.44","29,705.44",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
1/10/2019,4500144504,30,,CHEMIPEARL XSP529,476.000,KG,JPY,0,0,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
1/10/2019,4500144504,40,,CHEMIPEARL XSP529,3.000,KG,JPY,0,0,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
1/11/2019,4500144523,10,,TAKELAC XWPB-MN001,2.000,KG,USD,0.00,0.00,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
1/10/2019,4500144506,10,,Service Contract GC7820 system,1,JOB,THB,"53,988.25","53,988.25",RB11,RB1,RB00,1,BG00012322, AGILENT TECHNOLOGIES (TH
1/24/2019,4500145525,10,,งานเปลี่ยน Fresh Aircondition,1,EA,THB,"60,000.00","60,000.00",RB11,RB1,RB00,1,BG00012463," GEWINN ENGINEERING CO.,"
1/21/2019,4500145777,10,,ค่าบริการล้างทำความสะอาด Drum,"2,370",EA,THB,3.00,"7,110.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
1/21/2019,4500145777,20,,ค่าบริการล้างทำความสะอาด Drum คุมเครื่อง,"2,370",EA,THB,5.00,"11,850.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
1/21/2019,4500145777,30,,ค่าบริการล้างทำความสะอาด Bulk,416,EA,THB,60.00,"24,960.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
1/21/2019,4500145777,40,,ค่าบริการล้างทำความสะอาด Bulk(E),3,EA,THB,100.00,300.00,RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
1/16/2019,4500144920,10,,Hydrogen UHP,1,EA,THB,"3,000.00","3,000.00",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
1/16/2019,4500144920,20,,Nitrogen UHP,2,EA,THB,801.00,"1,602.00",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
1/16/2019,4500144920,30,,Helium UHP,1,EA,THB,"11,686.50","11,686.50",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
1/16/2019,4500144920,40,,"Delivery charge Hydrogen,Nitrogen",3,EA,THB,60.00,180.00,RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
1/16/2019,4500144920,50,,Delivery charge Helium,1,EA,THB,40.00,40.00,RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
1/21/2019,4500145310,10,,Maintenance Forklift F-35 (Jan'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,20,,Maintenance Forklift F-35 (Feb'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,30,,Maintenance Forklift F-35 (Mar'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,40,,Maintenance Forklift F-35 (Apr'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,50,,Maintenance Forklift F-35 (May'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,60,,Maintenance Forklift F-35 (Jun'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,70,,Maintenance Forklift F-35 (Jul'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,80,,Maintenance Forklift F-35 (Aug'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,90,,Maintenance Forklift F-35 (Sep'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,100,,Maintenance Forklift F-35 (Oct'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,110,,Maintenance Forklift F-35 (Nov'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145310,120,,Maintenance Forklift F-35 (Dec'19),1,SET,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,10,,"MA Forklift F-36,F-37,F-40,F-41 (Jan'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,20,,"MA Forklift F-36,F-37,F-40,F-41 (Feb'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,30,,"MA Forklift F-36,F-37,F-40,F-41 (Mar'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,40,,"MA Forklift F-36,F-37,F-40,F-41 (Apr'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,50,,"MA Forklift F-36,F-37,F-40,F-41 (May'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,60,,"MA Forklift F-36,F-37,F-40,F-41 (Jun'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,70,,"MA Forklift F-36,F-37,F-40,F-41 (Jul'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,80,,"MA Forklift F-36,F-37,F-40,F-41 (Aug'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,90,,"MA Forklift F-36,F-37,F-40,F-41 (Sep'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,100,,"MA Forklift F-36,F-37,F-40,F-41 (Oct'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,110,,"MA Forklift F-36,F-37,F-40,F-41 (Nov'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/21/2019,4500145350,120,,"MA Forklift F-36,F-37,F-40,F-41 (Dec'19)",4,SET,THB,"4,500.00","18,000.00",RB11,RB1,RB00,1,BG00012587," NDT (THAILAND) CO., LTD."
1/9/2019,4500144385,10,,ไซฟ่อนเล็ก,24,EA,THB,95.00,"2,280.00",RB11,RB1,RB00,1,BG00012612," P&N LABCHEM LTD., PART."
1/9/2019,4500144385,20,,ไซฟ่อนใหญ่,24,EA,THB,720.00,"17,280.00",RB11,RB1,RB00,1,BG00012612," P&N LABCHEM LTD., PART."
1/27/2019,4500145852,10,,Remaining repair FRP Roof,1,JOB,THB,"51,000.00","51,000.00",RB11,RB1,RB00,1,BG00012632, PCA ENGINEERING & SERVIC
1/17/2019,4500145013,10,,Calibrate Viscometer RVDV-E S/N 1826,1,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
1/17/2019,4500145013,20,,Calibrate Viscometer LVDV-E S/N 3614,1,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
1/17/2019,4500145013,30,,Calibrate Viscometer LVDV-E S/N 507965,1,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
1/17/2019,4500145013,40,,Calibrate Viscometer RVDV-E S/N E3563,1,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
1/17/2019,4500145013,50,,Calibrate Viscometer LVDV- E S/N 8491183,1,JOB,THB,"5,700.00","5,700.00",RB11,RB1,RB00,1,BG00012735, SPC CALIBRATION CENTER
1/21/2019,4500145223,10,,Maintenance Forklift F-35 (Jan'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,20,,Maintenance Forklift F-35 (Feb'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,30,,Maintenance Forklift F-35 (Mar'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,40,,Maintenance Forklift F-35 (Apr'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,50,,Maintenance Forklift F-35 (May'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,60,,Maintenance Forklift F-35 (Jun'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
1/21/2019,4500145223,70,,Maintenance Forklift F-35 (July'19),1,JOB,THB,"4,500.00","4,500.00",RB11,RB1,RB00,1,BG00012796," TOKIO ENGINEERING CO., L"
