Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
3/13/2019,4500149122,10,,สีน้ำเงิน,20.000,KG,THB,350.00,"7,000.00",RB11,RB3,RB00,1,BG00012081, KLIMCO LIMITED
3/13/2019,4500149122,20,,สีเหลือง,20.000,KG,THB,430.00,"8,600.00",RB11,RB3,RB00,1,BG00012081, KLIMCO LIMITED
3/4/2019,4500148341,10,,HDD 4TB WD,1,SET,THB,"8,500.00","8,500.00",RB11,RB1,RB00,1,BG00012093, S.P. TECHNOLOGY AND COMM
3/8/2019,4500149176,10,,Repair Indicator for Scale 5 tons,1,EA,THB,"15,000.00","15,000.00",RB11,RB1,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
3/19/2019,4500149486,10,,Calibration Truck Scale 6 Ton.,1,EA,THB,"25,000.00","25,000.00",RB11,RB1,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
3/18/2019,4500149350,10,,Indicator for 60 kgs. Model: IDS711,1,SET,THB,"28,500.00","28,500.00",RB11,RB1,RB00,1,BG00012101, CHANWATTANA  SCALE SALE
3/11/2019,4500148789,10,,"เครื่องดับเพลิง""Anti-Fire""ชนิดผงเคมีแห้ง",5,SET,THB,"1,380.00","6,900.00",RB11,RB0,RB00,1,BG00012103," ANTI FIRE INDUSTRY CO.,"
3/8/2019,4500148739,10,,Hydrostatic Testเครื่องถังดับเพลิงชนิดผง,22,EA,THB,490.00,"10,780.00",RB11,RB0,RB00,1,BG00012104," ANTI FIRE INDUSTRY CO.,"
3/8/2019,4500148739,20,,เติมน้ำยาถังดับเพลิงชนิดผงเคมีแห้ง,22,EA,THB,450.00,"9,900.00",RB11,RB0,RB00,1,BG00012104," ANTI FIRE INDUSTRY CO.,"
3/6/2019,4500148456,10,,ต่ออายุสมาชิก 2 ปี,0,JOB,THB,0.00,0.00,RB11,RB0,RB00,1,BG00012129," DHARMNITI PRESS CO., LTD"
3/6/2019,4500148463,10,,ประกันรถยนต์,1,JOB,THB,"20,670.08","20,670.08",RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
3/6/2019,4500148463,20,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
3/6/2019,4500148544,10,,พรบ.รถยนต์,1,JOB,THB,573.21,573.21,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
3/7/2019,4500148645,10,,Travelling insurance,1,JOB,THB,"13,483.58","13,483.58",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
3/6/2019,4500148458,10,,ต่ออายุสมาชิก,1,JOB,THB,"2,803.74","2,803.74",RB11,RB0,RB00,1,BG00012217, TECHNOLOGY PROMOTION ASS
3/11/2019,4500148773,10,,ค่าโฆษณารับสมัครงาน,2,EA,THB,"9,504.00","19,008.00",RB11,RB0,RB00,1,BG00012227," THINKNET CO., LTD."
3/1/2019,4500148974,10,,ค่าบำรุงรักษาปั้นจั่นชนิดอยู่กับที RD-CC,1,JOB,THB,"2,800.00","2,800.00",RB11,RB0,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
3/1/2019,4500148974,20,,ค่าบำรุงรักษาปั้นจั่นชนิดอยู่กับทีPD-IRS,1,JOB,THB,"8,400.00","8,400.00",RB11,RB0,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
3/11/2019,4500149884,10,,เปลี่ยนสลิง Hoist GL-06,38,EA,THB,255.00,"9,690.00",RB11,RB2,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
3/11/2019,4500149884,20,,Tension Spring SH40,1,EA,THB,"2,125.00","2,125.00",RB11,RB2,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
3/11/2019,4500149884,30,,Service charge for replae spare part,1,JOB,THB,"2,975.00","2,975.00",RB11,RB2,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
3/18/2019,4500149405,10,,Bulk Strap Model: BS65,3,EA,THB,"5,600.00","16,800.00",RB11,RB1,RB00,1,BG00012348," ATMET PACKAGING CO., LTD"
3/18/2019,4500149405,20,,Buckles Model: BB6 (For BS65),2,EA,THB,"2,800.00","5,600.00",RB11,RB1,RB00,1,BG00012348," ATMET PACKAGING CO., LTD"
3/21/2019,4500150199,10,,HD-BPS210 DOPCIII Battery backup module,1,SET,THB,"25,300.00","25,300.00",RB11,RB1,RB00,1,BG00012350," AZBIL (THAILAND) CO., LT"
3/21/2019,4500150199,20,,HD-BPS210 DOPCIII Battery backup module,1,SET,THB,"25,300.00","25,300.00",RB11,RB1,RB00,1,BG00012350," AZBIL (THAILAND) CO., LT"
3/21/2019,4500150071,10,,DOPCIII Battery Backup Module (IRW),1,EA,THB,"25,300.00","25,300.00",RB11,RB2,RB00,1,BG00012351," AZBIL (THAILAND) CO., LT"
3/21/2019,4500150071,20,,DOPCIII Battery Backup Module (IRS),1,EA,THB,"25,300.00","25,300.00",RB11,RB2,RB00,1,BG00012351," AZBIL (THAILAND) CO., LT"
3/19/2019,4500149956,10,,กำจัด Commercial Waste,"2,080.000",KG,THB,2.80,"5,824.00",RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
3/19/2019,4500149956,20,,Collection Fee,1,EA,THB,"4,250.00","4,250.00",RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
3/19/2019,4500149957,10,,กำจัด Commercial Waste,"2,660.000",KG,THB,2.80,"7,448.00",RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
3/19/2019,4500149957,20,,Collection Fee,1,JOB,THB,"4,250.00","4,250.00",RB11,RB0,RB00,1,BG00012356, BANGPOO ENVIRONMENTAL CO
3/20/2019,4500150357,10,,"ฟอร์ม Truck Load 9""x11"" 3P 1C 500ชุด/box","10,000",EA,THB,1.50,"15,000.00",RB11,RB1,RB00,1,BG00012362," BEST FORM PRINT CO., LTD"
3/29/2019,4500150436,10,,"ใบกำกับภาษี ขนาด9""x1"" 6P 1C","10,000",EA,THB,2.80,"28,000.00",RB11,RB1,RB00,1,BG00012362," BEST FORM PRINT CO., LTD"
3/29/2019,4500150440,10,,"ใบกำกับภาษี ขนาด9""x1"" 6P 1C (UU)","3,500",EA,THB,2.80,"9,800.00",RB11,RB3,RB00,1,BG00012362," BEST FORM PRINT CO., LTD"
3/29/2019,4500150440,20,,"ใบกำกับภาษี ขนาด9""x1"" 6P 1C (IRW)","1,000",EA,THB,2.80,"2,800.00",RB11,RB3,RB00,1,BG00012362," BEST FORM PRINT CO., LTD"
3/29/2019,4500150440,30,,"ใบกำกับภาษี ขนาด9""x1"" 6P 1C (IRS)","1,000",EA,THB,2.80,"2,800.00",RB11,RB3,RB00,1,BG00012362," BEST FORM PRINT CO., LTD"
3/20/2019,4500149564,10,,ค่ากำจัดแลบำบัด Contaminated packagaging,"3,230.000",KG,THB,2.70,"8,721.00",RB11,RB0,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
3/20/2019,4500149564,20,,ค่าขนส่ง,1,EA,THB,"6,000.00","6,000.00",RB11,RB0,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
3/19/2019,4500149583,10,,ค่าบริการกำจัดและบำบัดเรซิ่นเสื่อมสภาพ,"5,390.000",KG,THB,2.80,"15,092.00",RB11,RB2,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
3/19/2019,4500149583,20,,ค่าขนส่ง,1.000,KG,THB,"5,000.00","5,000.00",RB11,RB2,RB00,1,BG00012366, BETTER WORLD GREEN PUBLI
3/28/2019,4500150356,10,,,0.000,KG,THB,0.00,0.00,RB11,RB1,RB00,1,BG00012373, BRENNTAG INGREDIENTS (TH
3/19/2019,4500149490,10,,calibration for PM-QUV/SE,3,EA,THB,"11,100.00","33,300.00",RB11,RB1,RB00,1,BG00012397," COLOR GLOBAL CO., LTD."
3/1/2019,4500149296,10,,"Overhaul ""Tuthill"" Internal Gear Pump",1,EA,THB,"15,500.00","15,500.00",RB11,RB3,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/1/2019,4500149296,20,,"Overhaul ""Tuthill"" NORD"" Gear reducer",1,EA,THB,"2,500.00","2,500.00",RB11,RB3,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/1/2019,4500149296,30,,Service charge and Transportation,1,EA,THB,"5,500.00","5,500.00",RB11,RB3,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/1/2019,4500149307,10,,"Additional repair work Overhaul""Tuthill""",1,EA,THB,"20,000.00","20,000.00",RB11,RB3,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/1/2019,4500149307,20,,"Overhaul ""Tuthill"" NORD"" Gear reducer",1,EA,THB,"3,300.00","3,300.00",RB11,RB3,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/1/2019,4500149308,10,,"Overhaul ""SIHI"" Vacuum pump",1,EA,THB,"58,900.00","58,900.00",RB11,RB1,RB00,1,BG00012452, FLUID ADVANCE (THAILAND)
3/21/2019,4500149950,10,,Gasket V#N7031-S5HZAH(OD)780x(ID)690x4.0,1,SET,THB,"16,500.00","16,500.00",RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150067,10,,"งานเปลี่ยนปะเก็น 6""(ตั้งนั่งร้านแขวนลอก)",1,JOB,THB,"26,600.00","26,600.00",RB11,RB0,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150070,10,,"งานหุ้มฉนวนท่อ 6"" (UT-IRW)",1,JOB,THB,"11,700.00","11,700.00",RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150070,20,,"งานหุ้มฉนวนท่อ 6"" (UT-IRS)",1,JOB,THB,"11,700.00","11,700.00",RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150072,10,,Repair leakage on jacket,1,JOB,THB,"33,000.00","33,000.00",RB11,RB3,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150074,10,,"งานถอดทำความสะอาดท่อ 10"" DC-211",1,JOB,THB,"53,500.00","53,500.00",RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/21/2019,4500150076,10,,งานเปลี่ยนท่อน้ำ Cooling  อุปกรณ์ 11item,1,JOB,THB,"73,980.00","73,980.00",RB11,RB2,RB00,1,BG00012462," GEWINN ENGINEERING CO.,"
3/29/2019,4500150442,10,,Wastewater analysis work,1,JOB,THB,"9,500.00","9,500.00",RB11,RB0,RB00,1,BG00012469," GOSHU TECHNOSERVICE CO.,"
3/6/2019,4500148550,10,,Plastic bottle  500 cc.(29 g.),"2,000",EA,THB,6.90,"13,800.00",RB11,RB1,RB00,1,BG00012481," HOONG HUAT PLASTIC LTD.,"
3/18/2019,4500149394,10,,ขวดพลาสติก 500 cc. ใส,"2,000",EA,THB,6.90,"13,800.00",RB11,RB1,RB00,1,BG00012481," HOONG HUAT PLASTIC LTD.,"
3/6/2019,4500149313,10,,Shell Omala S2 GX 150/D209L,1,EA,THB,"19,300.00","19,300.00",RB11,RB0,RB00,1,BG00012484," IIDA-SEVEN SUN CO., LTD."
3/6/2019,4500149313,20,,Shell Omala S2 GX 220/D209L,1,EA,THB,"19,300.00","19,300.00",RB11,RB0,RB00,1,BG00012484," IIDA-SEVEN SUN CO., LTD."
3/12/2019,4500148927,10,,ถุงมือผ้า (โหล),50,EA,THB,70.00,"3,500.00",RB11,RB0,RB00,1,BG00012500, J & S SAFETY SUPPLY LTD.
