Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
2019-01-11,4500144603,10,,Car Insurance,1.00,JOB,THB,"16,146.17","16,146.17",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
2019-01-11,4500144603,20,,Car Insurance,1.00,JOB,THB,"14,888.41","14,888.41",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
2019-01-11,4500144603,30,,Car Insurance,1.00,JOB,THB,"29,705.44","29,705.44",RB11,RB1,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
2019-01-10,4500144504,30,,CHEMIPEARL XSP529,476.00,KG,JPY,0.00,0.00,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
2019-01-10,4500144504,40,,CHEMIPEARL XSP529,3.00,KG,JPY,0.00,0.00,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
2019-01-11,4500144523,10,,TAKELAC XWPB-MN001,2.00,KG,USD,0.00,0.00,RB11,RB1,RB00,1,BG00012280," MITSUI CHEMICALS, INC."
2019-01-10,4500144506,10,,Service Contract GC7820 system,1.00,JOB,THB,"53,988.25","53,988.25",RB11,RB1,RB00,1,BG00012322, AGILENT TECHNOLOGIES (TH
2019-01-24,4500145525,10,,งานเปลี่ยน Fresh Aircondition,1.00,EA,THB,"60,000.00","60,000.00",RB11,RB1,RB00,1,BG00012463," GEWINN ENGINEERING CO.,"
2019-01-21,4500145777,10,,ค่าบริการล้างทำความสะอาด Drum,"2,370.00",EA,THB,3.00,"7,110.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
2019-01-21,4500145777,20,,ค่าบริการล้างทำความสะอาด Drum คุมเครื่อง,"2,370.00",EA,THB,5.00,"11,850.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
2019-01-21,4500145777,30,,ค่าบริการล้างทำความสะอาด Bulk,416.00,EA,THB,60.00,"24,960.00",RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
2019-01-21,4500145777,40,,ค่าบริการล้างทำความสะอาด Bulk(E),3.00,EA,THB,100.00,300.00,RB11,RB1,RB00,1,BG00012511," K.S. WASTE RECOVERY CO.,"
2019-01-16,4500144920,10,,Hydrogen UHP,1.00,EA,THB,"3,000.00","3,000.00",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
2019-01-16,4500144920,20,,Nitrogen UHP,2.00,EA,THB,801.00,"1,602.00",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
2019-01-16,4500144920,30,,Helium UHP,1.00,EA,THB,"11,686.50","11,686.50",RB11,RB1,RB00,1,BG00012538, LINDE(THAILAND)PUBLIC CO
