Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
2/6/2019,4500146419,10,30196-FL-4131,"ICAFILLER 1580,1583, FL-4131",240.000,KG,THB,135.00,"32,400.00",RB11,RB1,RB00,1,BG00012071," P. MIGHTY TECH CO., LTD."
2/13/2019,4500146817,10,30164-FILLER 505,EURO Filler 505,140.000,KG,THB,75.00,"10,500.00",RB11,RB1,RB00,1,BG00012071," P. MIGHTY TECH CO., LTD."
2/13/2019,4500146792,10,RKOSUNA30-DR000190,SUNSOFTER A-300,380.000,KG,THB,34.00,"12,920.00",RB11,RB1,RB00,1,BG00012073," STC NICCA CO., LTD."
2/6/2019,4500146402,10,30042-VAM,VINYL ACETATE MONOMER (VAM),"13,000.000",KG,THB,43.00,"559,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146402,20,30042-VAM,VINYL ACETATE MONOMER (VAM),"13,000.000",KG,THB,43.00,"559,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146402,30,30026-MMA,Methyl Methacrylate (MMA),"13,000.000",KG,THB,66.78,"868,140.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146402,40,30026-MMA,Methyl Methacrylate (MMA),"13,000.000",KG,THB,66.78,"868,140.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146402,50,30026-MMA,Methyl Methacrylate (MMA),"13,000.000",KG,THB,66.78,"868,140.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146404,10,30035-2EHA,2-Ethylhexyl Acrylate (2-EHA),"5,500.000",KG,THB,54.00,"297,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146404,20,30035-2EHA,2-Ethylhexyl Acrylate (2-EHA),"7,500.000",KG,THB,54.00,"405,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146404,30,30035-2EHA,2-Ethylhexyl Acrylate (2-EHA),"13,000.000",KG,THB,54.00,"702,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146404,40,30034-N-BA,n-Butyl Acrylate (n-BA),"13,000.000",KG,THB,51.00,"663,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
2/6/2019,4500146404,50,30034-N-BA,n-Butyl Acrylate (n-BA),"13,000.000",KG,THB,51.00,"663,000.00",RB11,RB1,RB00,1,BG00012080," VIV INTERCHEM CO., LTD."
