Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
11/29/2018,4500141711,10,,ถุงขยะ 30*40,50,KG,THB,39,"1,950.00",RB11,RB2,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/29/2018,4500141711,20,,แก้วกระดาษไม่มีลาย,4,EA,THB,"1,500.00","6,000.00",RB11,RB2,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/29/2018,4500141711,30,,Kimsoft jumbo roll 2 ชั้น,2,EA,THB,640,"1,280.00",RB11,RB2,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/29/2018,4500141711,40,,Kimsoft choice ม้วนเล็ก,8,EA,THB,400,"3,200.00",RB11,RB2,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/30/2018,4500141801,10,,กระดาษเช็ดมือscott,8,EA,THB,"1,130.00","9,040.00",RB11,RB0,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/30/2018,4500141801,20,,สบู่เหลวล้างมือ สีชมพู 3M,4,EA,THB,120,480,RB11,RB0,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/30/2018,4500141801,30,,Kimsoft jumbo roll 2 ชั้น,5,EA,THB,640,"3,200.00",RB11,RB0,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/30/2018,4500141801,40,,ถุงขยะ 30*40,25,KG,THB,39,975,RB11,RB0,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
11/30/2018,4500141801,50,,ถุงขยะ 36*45,25,KG,THB,39,975,RB11,RB0,RB00,1,BG00012595,"BG00012595 NPK MASTERPLAN CO., LTD."
12/07/2018,4500142188,10,,Packing Area Improvement (30%),1,EA,THB,"210,000.00","210,000.00",RB11,RB2,RB00,1,BG00012631,BG00012631 PCA ENGINEERING & SERVIC
12/11/2018,4500142439,10,,ซ่อมเครื่อง TOHO NR-215,1,JOB,THB,"9,500.00","9,500.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/11/2018,4500142439,20,,Consumption,1,JOB,THB,"1,000.00","1,000.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/11/2018,4500142439,30,,Transportation,1,JOB,THB,"1,500.00","1,500.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/11/2018,4500142443,10,,สายน้ำยาเคมี Hose(ISO)3R80-08x910,1,PC,THB,"4,200.00","4,200.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/11/2018,4500142443,20,,สายน้ำยาเคมี Hose(ISO)3R80-08x380,1,PC,THB,"3,500.00","3,500.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/11/2018,4500142443,30,,"สายน้ำยาเคมี Hose(ISO)3R80-06x4,330",1,PC,THB,"7,400.00","7,400.00",RB11,RB3,RB00,1,BG00012796,"BG00012796 TOKIO ENGINEERING CO., L"
12/03/2018,4500141879,10,,ฟิล์ม HM50-1800-G 50 cm.x1800 m.x20 Mic,15,EA,THB,"1,180.00","17,700.00",RB11,RB1,RB00,1,BG00014562,"BG00014562 NANDEE -STRAPAC CO.,LTD."
09/06/2018,4500135785,10,,Vestanat H 12 MDI,30,KG,THB,385,"11,550.00",RB11,RB1,RB00,1,@0N\QPO history/release documentation@,BG00015806 JEBSEN & JESSEN INGREDIE
