Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/18/2019,,,ลูกกลิ้งทาสี,pcs,3,65,195,,HomePro,ZQ-022
01/18/2019,,,สีน้ำมัน GLIPTON BASE A G 1/4 GL,gallon,1,199,199,,HomePro,ZQ-022
01/18/2019,,,สีรองพื้นอเนกประสงค์  HYDRO QUICK 1 GL,gallon,1,659,659,,HomePro,ZQ-022
01/18/2019,,,สีน้ำทาภายใน DRC A PLUS BASE A M 2.5 GL,gallon,1,1629,1629,,HomePro,ZQ-022
01/18/2019,,,"แปรงทาสีขนธรรมชาติดำ NA00150 2""",pcs,3,35,35,,HomePro,ZQ-022
01/18/2019,,,ถาดสี KINGORIGIN,pcs,3,55,55,,HomePro,ZQ-022
01/18/2019,,,สติ้กเกอร์ตัดขาย DW-34 0.50,sheet,1,129,129,,HomePro,ZQ-022
01/29/2019,,,"ผ้าขนหนู 15*32 """,pcs,24,69,1656,,Big C super center,ZQ-022
01/29/2019,,,ถ่านกระดุม A76 (1.5V),pcs,1,65,65,,B2S/Office Mate,ZQ-022
03/05/2019,,,ถุงมือโพลิเอสเตอร์เคลือบ Latex ไซส์ L,pcs,6,60,360,,Pangolin,ZQ-022
