Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
02/21/2019,,,ถ้วยน้ำ PP 7 OZ เกล็ดแก้ว,,1,150,150,,Makro,SR-074
02/21/2018,,,6CM GESSO BRUSH ST20,,3,53,159,,B2S,SR-074
02/21/2018,,,#10 พู่กันกลมพานทอง,,1,29,29,,B2S,SR-074
02/21/2018,,,#11 พู่กันกลมพานทอง,,1,34,34,,B2S,SR-074
03/19/2018,,,MGวิชเชอร์เทียนหอมหนัก1บาท ,,4,139,556,,บริษัท เอก-ชัย ดิสทริบิวชั่น,SR-074
03/19/2018,,,Aluminum hydroxide HWF-8,,75,28,2100,,บจก.มัลติเพิลพลัส,SR-074
04/20/2018,,,แปรงทาแชล็ค 6 ปล้อง,,1,25,25,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,แปรงทาแชล็ค 6 ปล้อง,,1,25,25,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,ชุดลูกกลิ้ง พร้อมอะไหล่,,1,69,69,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,อะไหล่ลูกกลิ้งทาสีน้ำมัน AT,,1,40,40,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,อะไหล่ลูกกลิ้งทาสีน้ำมัน AT,,1,40,40,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,แปรงทาแชล็ค 6 ปล้อง,,1,25,25,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,แปรงทาแชล็ค 6 ปล้อง,,1,25,25,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นเนียน ภายนอก,,1,673.07,673.07,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นเนียน ภายนอก,,1,804.75,804.75,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นกึ่งเงา ภายนอก,,1,838.9,838.9,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นกึ่งเงา ภายนอก,,1,741.35,741.35,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นกึ่งเงา ภายนอก,,1,916.93,916.93,,ซีอาร์ซี ไทวัสดุ,SR-074
04/20/2018,,,สีน้ำยืดหยุ่นกึ่งเงา ภายนอก,,1,910,910,,ซีอาร์ซี ไทวัสดุ,SR-074
05/03/2018,,,ฟิวเจอร์บอร์ดสีฟ้า,,2,16.5,33,,Do home,SR-074
05/03/2018,,,J โปสเตอร์อ่อน สองหน้า,,2,74,148,,Do home,SR-074
05/03/2018,,,เทปกาวสองหน้า 36 x 20 หลา,,3,19,54,,Do home,SR-074
05/03/2018,,,เทปโฟมสองหน้า 21 x 5M,,4,199,796,,Do home,SR-074
05/03/2018,,,ตีเส้น เลเซอร์ สีน้ำเงิน,,1,27,27,,Do home,SR-074
05/03/2018,,,ตีเส้น เลเซอร์ สีแดง,,1,27,27,,Do home,SR-074
05/03/2018,,,ตีเส้น เลเซอร์ สีเหลือง,,1,27,27,,Do home,SR-074
