Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
6/4/2018,,,กระดาษห่อพัสดุ,,30,5,150,,บางปะกงเครื่องเขียน,SR-074
6/9/2018,,,"กาวย่น 2 1/2"" 20หลา ",,2,144,288,,ดูโฮม,SR-074
6/9/2018,,,กาวย่น 18mmX25m,,1,171,171,,ดูโฮม,SR-074
8/1/2018,,,เข็มขัดรัดสายยาง,,6,10,60,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ตัวปรับลมงอเกลียวนอก SC10-03,,3,135,405,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,วาล์วปรับลมนิวเมติก ,,1,120,120,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ท่อสามทางต่อสายลม (PY8),,1,25,25,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ข้อต่อเกลียวนอกสายยาง 3/8*3/8,,6,40,240,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ไขควง,,2,125,250,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,เทปพันเกลียว,,1,150,150,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,เทปพันสายไฟ,,1,80,80,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,กระดาษกาวย่น,,2,140,280,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ใบมีดคัตเตอร์ LCB-65S,,3,333,999,,ทะเลฮาร์ดแวร์ ,SR-074
8/1/2018,,,ใบมีดคัตเตอร์ LCB-65,,2,333,666,,ทะเลฮาร์ดแวร์ ,SR-074
8/7/2018,,,ถุงขยะใส D-Brand ,,10,48,480,,ดูโฮม,SR-074
8/7/2018,,,"FIEL OIL HOSE R6-3/8""",,10,9,900,,บริษัท ธนไพศาล ไฮดรอลิค จำกัด,SR-074
8/8/2018,,,มีดคัตเตอร์ TAJIMA LC-661,,2,250,500,,ทะเลฮาร์ดแวร์ ,SR-074
8/30/2018,,,สายยางเชือกถัก 1.1/4 TOYOX,,4,307,1228,,HARDWAREHOUSE,SR-074
8/30/2018,,,สายยางใส รุ่น หนา1 (20กก.),,20,14,280,,HARDWAREHOUSE,SR-074
8/30/2018,,,เข็มขัดรัดสายยาง 30-40มม. NITTO,,2,14,28,,HARDWAREHOUSE,SR-074
8/30/2018,,,เข็มขัดรัดสายยาง 16-27มม. NITTO,,5,12,60,,HARDWAREHOUSE,SR-074
10/3/2018,,,"กาวย่น 1 1/2""",,2,148,296,,ดูโฮม,SR-074
10/3/2018,,,"กาวย่น 1""",,1,166,166,,ดูโฮม,SR-074
10/3/2018,,,"กาวย่น 2""",,1,157,157,,ดูโฮม,SR-074
10/3/2018,,,เทปผ้า 36 mm,,3,140,420,,ดูโฮม,SR-074
10/3/2018,,,เทปผ้า 48 mm,,3,186,558,,ดูโฮม,SR-074
10/3/2018,,,"คอปเปอร์ 1/4""",,1,86,86,,ดูโฮม,SR-074
10/3/2018,,,สายลมสปริง,,1,143,143,,ดูโฮม,SR-074
10/3/2018,,,กระดาษหนังสือพิมพ์เก่า,,60,8,480,,ดูโฮม,SR-074
10/4/2018,,,ที่คว่ำจาน 2 ชั้นแบบมีฝาครอบ,,1,299,299,,บ.เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด,SR-074
10/4/2018,,,ไม้ถูพื้น,,2,399,789,,บ.เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด,SR-074
10/4/2018,,,ถุงร้อน-เย็น,,2,69,138,,บ.เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด,SR-074
10/16/2018,,,แปรงทองเหลือง,,2,20,40,,Nijyu shop,SR-074
10/16/2018,,,นิปเปิ้ล1/4*1/4,,2,34,68,,ดูโฮม,SR-074
10/16/2018,,,นิปเปิ้ล1/4*3/8,,4,49,196,,ดูโฮม,SR-074
10/16/2018,,,นิปเปิ้ล เกลียวใน 3/8*1/4 ,,2,54,108,,ดูโฮม,SR-074
11/1/2018,,,ลูกล้อสายไฟ (ปลั๊กไฟ),,1,995,995,,ดูโฮม,SR-074
11/1/2018,,,บล็อคยาง เต้ารับสายไฟ (ปลั๊กไฟ),,1,566,566,,ดูโฮม,SR-074
11/1/2018,,,น้ำยาหม้อน้ำ,,2,143,286,,ดูโฮม,SR-074
11/1/2018,,,ล้อยางแบน แบบตาย,,2,108,216,,ดูโฮม,SR-074
11/1/2018,,,ล้อยางแบน มีเบรค,,2,74,148,,ดูโฮม,SR-074
11/7/2018,,,"สาย Toyox Toyospring TS-38 1-1/2"" (38/48)",,8,442.24,3537.97,,เอ็ม วาย เอ็ม เทรดดิ้ง จำกัด,SR-074
11/14/2018,,,SCOTCH เทปกาวย่น 24M,,4,32,128,,บริษัท บีทูเอส จำกัด,SR-074
11/14/2018,,,เทปผ้ากาว แดง 24MMx8,,3,28,84,,บริษัท บีทูเอส จำกัด,SR-074
11/14/2018,,,เทปผ้ากาว บรอนซ์ 24MM,,3,28,84,,บริษัท บีทูเอส จำกัด,SR-074
11/14/2018,,,เทปผ้ากาว เขียวแก่2,,3,28,84,,บริษัท บีทูเอส จำกัด,SR-074
11/14/2018,,,เทปผ้ากาว เหลืองอ่อน,,4,28,112,,บริษัท บีทูเอส จำกัด,SR-074
11/14/2018,,,เทปผ้ากาว ฟ้า 24MMx8,,3,28,84,,บริษัท บีทูเอส จำกัด,SR-074
01/10/2019,,,ไม้กวาด,,6,70,420,,พรหมมาฮาร์ดแวร์โฮม,SR-074
01/10/2019,,,ผ้าสปินม๊อบ,,2,299,598,,เอก-ชัย ดิสทริบิวชั่น ซิสเทม,SR-074
01/10/2019,,,อาทเจ็ทเทอร์ไมท์กำจัดปลวก,,2,79,158,,เอก-ชัย ดิสทริบิวชั่น ซิสเทม,SR-074
01/10/2019,,,ซ่อมเครื่อง Close cell,,1," 7,000 "," 7,000 ",,IDI (Thailand),SR-074
01/25/2019,,,กาวย่น,,2,194,388,,"Dohome CO.,LTD",SR-074
01/25/2019,,,"ข้อลดกลม 1""x1/2"" ดาว",,7,5,35,,"Dohome CO.,LTD",SR-074
01/25/2019,,,"ข้อลดกลม 1""x1/2"" สามบ้าน",,34,7,238,,"Dohome CO.,LTD",SR-074
01/25/2019,,,"ท่อ PVC  เรียบ 1/2""",,5,35,175,,"Dohome CO.,LTD",SR-074
02/01/2019,,,"กรรไกร 8.5"" ",,2,50,100,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปกระดาษกาวย่น 24/2,,10,22,220,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้ากาว เหลืองอ่อน,,5,28,140,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้ากาว ชมพู 24MMX,,3,28,84,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปกระดาษกาวย่น 36/2,,4,30,120,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้ากาว เขียวแก่,,6,40,240,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้ากาว เหลืองอ่อน,,2,44,80,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้ากาว เหลืองแก่,,4,40,160,,"B2S CO.,LTD",SR-074
02/01/2019,,,เทปผ้า48X10Y บรอนส์,,1,119,119,,"B2S CO.,LTD",SR-074
02/08/2019,,,"เซลเฟล็กซ์ ยางหุ้มท่อ 1/4""*3/8"" NO.3814",,2,19,38,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/08/2019,,,ตะขอ C 1.1/2,,1,20,20,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/08/2019,,,FITTING 06/02 สามทางวายเกลียวนอก,,2,45,90,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/08/2019,,,FITTING 06/00 สามทางวาย AQPY-6,,2,42,84,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/08/2019,,,FITTING 06/01 สามทางเกลียวนอก ,,2,35,70,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/08/2019,,,ถ่านกระดุม ALK ULTRA KODAK A76 ,,1,25,25,,บ.ฮาร์ดแวร์เฮาส์,SR-074
02/11/2019,,,Syringe 20ML B.D.,,1,15,15,,บ.เซฟดรัก เซ็นเตอร์,SR-074
02/11/2019,,,Syringe 20ML B.D.,,9,12,108,,บ.เซฟดรัก เซ็นเตอร์,SR-074
03/01/2019,,,กระดาษหนังสือพิมพ์,,14,7,98,,ดูโฮม,SR-074
