Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/18/2018,,,Contaminated  Packaging,ตัน,1.36," 2,700 "," 3,672 ",,เบตเตอร์ เวิลด์ กรีน,ZQ-034
01/18/2018,,,Transportation  Charge,รอบ,1," 6,000 "," 6,000 ",,เบตเตอร์ เวิลด์ กรีน,ZQ-034
01/29/2018,,,สติกเกอร์โครงการ Fat to Fit,อัน,1, 350 , 350 ,,แมคโฆษณา,ZQ-034
02/09/2018,,,บอร์ดโครงเหล็กหุ้มอลูมิเนียม ขนาด 135X100 CM.และแถบแม่เหล็กติดรูปพนักงาน พร้อมติดตั้ง,อัน,1," 7,000 "," 7,000 ",,แมคโฆษณา,ZQ-006
02/13/2018,,,เรซิ่นเสื่อมสภาพ,ตัน,1.72," 2,800 "," 4,816 ",,BWG,ZQ-034
02/13/2018,,,Transportation  Charge,รอบ,1," 5,000 "," 5,000 ",,BWG,ZQ-034
02/13/2018,,,ป้ายไวนิล โครงไม้ ขนาด 224X122 CM. พร้อมติดตั้ง,ป้าย,2," 2,650 "," 5,300 ",,แมคโฆษณา,ZQ-006
02/28/2018,,,บรรจุถังดับเพลิงชิดผงเคมีแห้ง ขนาด 15 ปอนด์,ถัง,1, 450 , 450 ,,แอนตี้ไฟร์,ZQ-006
02/28/2018,,,บรรจุถังดับเพลิงชิดผงเคมีแห้ง ขนาด 10 ปอนด์ (Autor Type),ถัง,1, 300 , 300 ,,แอนตี้ไฟร์,ZQ-006
03/13/2018,,,คอกสแตนเลสทรงเสมอเก๋ง,อัน,1," 3,500 "," 3,500 ",,สฤตา  ออโต้ แม็กซ์  จำกัด,ZQ-006
03/21/2018,,,Waste Solvent,ตัน,1.81," 2,500 "," 4,525 ",,เค  เอส  เวสท์  รีคอฟเวอรี่,ZQ-034
03/27/2018,,,พิมเสนน้ำตาโป๊ยเซียน ขนาด3  mL(1 แพคมี 12 ขวด),แพค,2, 175 , 350 ,,แมคโคร,ZQ-034
03/27/2018,,,พิมเสนน้ำลูกกลิ้งตราเฌอเอม ขนาด5  mL (1 แพค มี 6 ขวด),แพค,28, 153 ," 4,284 ",,แมคโคร,ZQ-034
03/27/2018,,,พิมเสนน้ำชุบสำลีโป๊ยเซียน 8 ml (1 แพคมี 12 ขวด),แพค,2, 214 , 428 ,,แมคโคร,ZQ-034
03/27/2018,,,ไอซ์เจลลี่บาล์ม (1 แพค มี 6 ขวด),แพค,10, 118 ," 1,180 ",,แมคโคร,ZQ-034
03/27/2018,,,ฮอล์คูลรสเมนโท-ลิปตัน 480 เม็ด,แพค,1, 229 , 229 ,,แมคโคร,ZQ-034
03/27/2018,,,ฮอล์คูลรสน้ำงเลมอน 480 เม็ด,แพค,1, 229 , 229 ,,แมคโคร,ZQ-034
03/27/2018,,,เนสกาแฟ Blend&Brew 19.4 กรัม (60 ซอง),แพค,1, 182 , 182 ,,แมคโคร,ZQ-034
03/27/2018,,,เนสกาแฟ Blend&Brew 17.5  กรัม (60 ซอง),แพค,1, 182 , 182 ,,แมคโคร,ZQ-034
03/27/2018,,,ถุงซิบใสมีก้น 15*25 CM 50 ใบ,แพค,5, 219 ," 1,095 ",,แมคโคร,ZQ-034
03/27/2018,,,ฮอลล์ลูกอมมิกซ์เบอรรี่ 100 เม็ด,แพค,1, 50 , 50 ,,แมคโคร,ZQ-034
03/27/2018,,,ถุงผ้าสีครีม ขนาด 19*13,ใบ,250, 5 ," 1,250 ",,แมคโคร,ZQ-034
03/27/2018,,,โซ่,เมตร,10, 59 , 590 ,,ไทวัสดุ,
05/03/2018,,,ป้ายอไคลิคส์สติ๊กเกอร์เรืองแสง ขนาด80X60CM.พร้อมติดตั้ง,ป้าย,2," 1,600 "," 3,200 ",,แมคโฆษณา,ZQ-006
05/06/2018,,,งานพิมพ์หนังสือ Hazop,เล่ม,36, 225 ," 8,100 ",,B.N.C.,ZQ-036
05/08/2018,,,ป้ายสสติ๊กเกอร์ชื่อบริษัทไทยมิตซุยฯ พร้อมโลโก้ TMSC ติด2 ข้างของรถฉุกเฉิน,ชุด,1," 1,250 "," 1,250 ",,แมคโฆษณา,ZQ-006
05/09/2018,,,เปลี่ยนเกจถังดับเพลิงผงเคมีแห้งขนาด 15 ปอนด์,ถัง,4, 150 , 600 ,,แอนตี้ไฟร์,ZQ-006
05/18/2018,,,งานพิมพ์หนังสือ Final Awareness Processdures Size4,เล่ม,2, 150 , 300 ,,B.N.C.,ZQ-036
06/13/2018,,,สติกเกอร์สะท้อนแสง 3 M ขนาด 30X30 CM(ป้ายถังดับเพลิง),ป้าย,5, 260 ," 1,300 ",,แมคโฆษณา,ZQ-006
06/13/2018,,,สติกเกอร์สะท้อนแสง 3 M ขนาด 35X25CMติดบนแผ่นอะไคลิคส์ (ป้ายอ่างล้างตาฉุกเฉิน),ป้าย,12, 380 ," 4,560 ",,แมคโฆษณา,ZQ-006
06/19/2018,,,ป้ายไวนิลพิมพ์ละเอียด ขนาด 240X120CM.,ป้าย,1," 1,400 "," 1,400 ",,แมคโฆษณา,ZQ-006
06/25/2018,,,ฟิวเจอร์บอร์ดขนาดกลาง 81 X 65 CM.,แผ่น,6, 43 , 258 ,,น้องเครื่องเขียน,ZQ-036
07/03/2018,,,General  Waste,ตัน,1.95," 2,800 "," 5,460 ",,BPEC,ZQ-034
07/03/2018,,,Transportation  Charge,รอบ,1," 4,250 "," 4,250 ",,BPEC,ZQ-034
07/07/2018,,,แฟ้มโชว์เอกสาร 30,แฟ้ม,3, 104 , 312 ,,บีทูเอส,ZQ-039
07/07/2018,,,แฟ้มโชว์เอกสาร 20,แฟ้ม,1, 78 , 78 ,,บีทูเอส,ZQ-039
07/10/2018,,,คลิบติดบัตรสแตนเลส,กล่อง,3, 159 , 477 ,,แมคโคร,ZQ-039
07/10/2018,,,ซองพลาสติกใส่บัตร,ชุด,1, 99 , 99 ,,แมคโคร,ZQ-039
