Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/09/2018,,,กาพ้นสี,,1,,429,,Home Pro,ZP-004
01/29/2018,,,สายยางที่มีใส้เชือกถัก ขนาด 5 หุน,,1,,918,,Home Pro,ZP-004
02/23/2018,,,NOXOL  ETH/S3,,1,,1550,,P.T.C. International,ZP-004
02/27/2018,,,ทำป้ายไวนิวเข้ากรอบ ,,1,,700,,K. เจริญ,ZP-004
03/09/2018,,,ซื้อสายไฟทำสายกาว,,,,900,,ร้าน ที่บ้านหม้อ,ZP-004
03/02/2018,,,สายยางที่มีใส้เชือกถัก สำหรับขัด Reactor,,,,1142,,Home Pro,ZP-004
03/05/2018,,,สว่านไฟฟ้า ,,1,,2390,,Home Pro,ZP-004
,,,เย็บถุงผ้ากรอง,,,,,,น.ส.ประภัทสร,ZP-004
05/21/2018,,,ลวดสลิง 3 mm. ยูแคลม ,,,,900,,ร้าน ที่บ้านหม้อ,ZP-004
,,,จ้างทำที่จับถัง 200 ลิตร,,1,,9000,,K. อำนาจ,ZP-004
07/03/2018,,,Aluminium Frame   Size : 590 x 595 x 40 mm.,,4,1500,6000,,NEO  Flow,ZP-004
08/28/2018,,,กล่องพลาสติกเอนกประสงค์,,6,129,884,,MAKRO,ZP-004
09/28/2018,,,Battery สำหรับเครื่องชั่ง,,3,450,1350,,ร้าน บ้านหม้อ โซล่า,ZP-004
12/03/2018,,,กระติกน้ำร้อน,,1,,879,,โลตัส,ZP-004
12/20/2018,,,ทำตรายาง,,2,120,240,,ร้าน เอกรัฐ,ZP-004
,,,รองเท้าแตะสำหรับ Visitor,,12,150,1800,,ร้านขายรองเท้าตลาดนัด,ZP-004
,,,อุปกรณ์จัดบอด,,1,,900,,ร้าน ธนาภัณฑ์ เครื่องเขียน,ZP-004
,,,สแตนเลสแผ่น (SUS 304) หนา 1 มิลลิเมตร,,30,250,7500,,Sutee SMS Conpany,ZP-004
