Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/05/2018,MA8012,1,SMC AIR CYLINDER CDA2B40-500KT902635,ea,1,3920,3920,,Member tech,ZN-003
01/05/2018,MA8016,1,"KINIK ใบเจียร 100X4""X16MM.",ea,50,25,1250,,Member tech,ZN-003
01/05/2018,MA8016,2,"MAKITA ใบตัด 4"" 1MM #B-12201-10(BOX-10EA)",box,2,400,800,,Member tech,ZN-003
01/05/2018,MA8016,3,UNION สวิทซ์ลูกลอย HJ-32,ea,5,250,1250,,Member tech,ZN-003
01/05/2018,MA8016,4,"NANO แผงไฟฟ้าพลาสติก #302 สีขาว6""x8""x1.3""",ea,1,50,50,,Member tech,ZN-003
01/05/2018,MA8016,5,PANASONIC C/B 2P 15A BST1111,ea,1,120,120,,Member tech,ZN-003
01/05/2018,MA8016,6,BOX BREAKER,ea,1,20,20,,Member tech,ZN-003
01/05/2018,MA8016,7,YAWATA ลวดเชื่อมสแตนเลส 308L-162.6MM (PACK:5KGS),pack,1,1600,1600,,Member tech,ZN-003
01/05/2018,MA8016,8,YAWATA ลวดเชื่อมเหล็กหล่อ NI CAST-553.2 X 350 MM.(PACK/1KG),pack,1,1600,1600,,Member tech,ZN-003
01/05/2018,MA8017,1,"ท่อสแตนเลส 1"" NO.40 ยาว 6 เมตร",ea,2,2250,4500,,Member tech,ZN-003
01/05/2018,MA8026,1,(TOPKEN) Mechanical Seals TK-S30 Size 25 mm.Mat l : Silicon Carbide / Silicon Carbide / Viton,set,1,5865,5865,,TK engineering and parts,ZN-003
01/05/2018,MA8027,1,(TOPKEN) Mechanical Seals TK-TB2 Size 25 mm.Mat l : Carbon / Silicon Carbide / PTFE,set,1,7820,7820,,TK engineering and parts,ZN-003
01/12/2018,MA8032,1,น้ำกลั่นขวดใหญ่,pcs,24,15,360,,Member tech,ZN-003
01/12/2018,MA8032,2,LINK JACK RJ45 US1002 (PACK-10EA),ea,30,12,360,,Member tech,ZN-003
01/12/2018,MA8032,3,JACK RJ11 4C 6P,ea,30,5,150,,Member tech,ZN-003
01/12/2018,MA8032,4,"เทปกัน. เขตสีเหลือง-ดำ 3"" ยาว 500M.",roll,2,550,1100,,Member tech,ZN-003
01/12/2018,MA8032,5,"BANDEX CABLE TIE 4"" สีขาว CT-100-C",ea,500,0.12,60,,Member tech,ZN-003
01/12/2018,MA8032,6,"BANDEX CABLE TIE 6"" สีขาว CT-150-3C",ea,500,0.45,225,,Member tech,ZN-003
01/12/2018,MA8032,7,NITTO SOCKET 40PH,ea,5,75,375,,Member tech,ZN-003
01/12/2018,MA8032,8,SQUARE D MCB 1P 16A,ea,1,120,120,,Member tech,ZN-003
