Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/03/2018,D01001,,"Thermal Paper for Printer Tall3cm.,W 5.5 cm.",,12,150,1800,,Charnwattana,OP-006
01/03/2018,D01002,,ขวดพลาสติก 100 cc. พร้อมฝา (ใบ),,2000,3.6,7200,,ฮุ่งฮวดพลาสติก,OP-006
01/03/2018,D01003,,ไซฟ่อนขนาดใหญ่ (Syphon),,12,550,6600,,P & N,OP-006
01/08/2018,D01012,,Sodium Nitrite 98% AE 500g. Loba,,2,330,660,,Apex,OP-006
01/08/2018,D01013,,Toluene AR Grade 2.5L,,8,700,5600,,Lab Valley,OP-006
01/08/2018,D01013,,Phthalic Anhydride 500g.,,2,600,1200,,Lab Valley,OP-006
01/08/2018,D01013,,Parafilm M,,2,850,1700,,Lab Valley,OP-006
01/08/2018,D01014,,Buffer Solution pH4 (Kg.),,1,650,650,,Lab Valley,OP-006
01/08/2018,D01014,,Tharmometer 0-100 C.(แอลกอฮอล์),,20,95,1900,,Lab Valley,OP-006
01/09/2018,D01015,,เข็มขัดรัดท่อ 1 นิ้ว ABA (อัน),,36,37,1332,,Rattanakosin,OP-006
01/09/2018,D01015,,เข็มขัดรัดท่อ 1. 1/2 นิ้ว ABA (อัน),,24,45,1080,,Rattanakosin,OP-006
01/09/2018,D01015,,เข็มขัดรัดท่อ 2 นิ้ว,,24,55,1320,,Rattanakosin,OP-006
01/09/2018,D01016,,Glass Cell ขนาด 10 mm. (คู่),,1,3100,3100,,Barascientific,OP-006
01/15/2018,D01025,,Hydrocholic acid 0.5 N.(ขวด),,11,550,6050,,Lab Valley,OP-006
01/15/2018,D01026,,สายรัดถังแบบธรรมดา,,5,650,3250,,P.Y Panupong,OP-006
01/15/2018,D01026,,สายโพลีเอสเตอร์ 19 มม. (1 กล่อง 2 ม้วน),,1,5700,5700,,P.Y Panupong,OP-006
01/08/2018,D01028,,"ท่อสแตนเลส 1"" No.40 ยาว 6 ม.",,2,2250,4500,,Member Tech,OP-006
01/16/2018,D01029,,"ใบคำนวณภาษีบุคคลธรรมดา Size 9""x12""",,1000,6,6000,,Best Form,OP-006
01/17/2018,D01031,,ป้ายพลาสติกสะท้อนแสง 30x20 cm.,,30,250,7500,,แมคโฆษณา,OP-006
01/17/2018,D01031,,Sticker สะท้อนแสง 3 m 9x13 cm.,,100,40,4000,,แมคโฆษณา,OP-006
01/18/2018,D01040,,ถุงมือเคลือบยาง NR NANO X-TRA 300 #L (คู่),,50,40,2000,,Bangkok Safety,OP-006
01/18/2018,D01040,,แว่นตา Prospec 269 AF เลนส์ I/O,,12,200,2400,,Bangkok Safety,OP-006
01/18/2018,D01040,,เข็มขัดป้องกันหลัง #L,,10,370,3700,,Bangkok Safety,OP-006
01/18/2018,D01041,,ถุงมือนีโอปรีน รุ่น 09-924  14 นิ้ว,,10,430,4300,,ผลธัญญะ,OP-006
01/18/2018,D01043,,Methanol (MeOH) 2.5L.#1.06007.2500 Merck,,4,840,3360,,Chemical express,OP-006
01/19/2018,D01044,,"Aqualine Karl Fisher Complete 5, 1L.",,1,3800,3800,,Apex,OP-006
01/19/2018,D01046,,Chemical test thamol RG-1818,,1,7300,7300,,TUV,OP-006
01/19/2018,D01047,,ล้างถังพลาสติก 1000 L,,3,900,2700,,เทพประสิทธิ์,OP-006
01/19/2018,D01050,,Hydrometer NO.6(1.000 - 1.060),,1,900,900,,Lab Valley,OP-006
01/19/2018,D01051,,ค่าเย็บถุงผ้ากรอง,,600,15,9000,,K. ประภัสสร,OP-006
01/19/2018,D01067,,ลูกปืน SKF SYJ 507,,2,2400,4800,,TSP,OP-006
01/30/2018,D01070,,Eternacoll UH-50 (Kg.),,18,220,3960,,Optimal Tech,OP-006
01/30/2018,D01071,,25Litre  U.N. Cert Tight head drum,,2,1900,3800,,Lyon,OP-006
01/31/2018,D01072,,ขวดมายองเนส 16 ออนซ์ (24ใบ/ลัง),,240,9,2160,,นำโชค,OP-006
01/31/2018,D01072,,ขวดมายองเนส 8 ออนซ์ (60ใบ/ลัง),,600,6,3600,,นำโชค,OP-006
01/31/2018,D01073,,ขวดมายองเนส 16 ออนซ์ (24ใบ/ลัง) ไม่มีเอาฝา,,192,8,1536,,นำโชค,OP-006
01/31/2018,D01074,,หลอดทดสอบการเกิดเชื้อ Mikrocount Combi (20หลอด/กล่อง),,1,2100,2100,,Diethelm,OP-006
02/01/2018,D02001,,กระดาษทิชชู่ไร้ฝุ่น Kimteck (pack),,2,2900,5800,,Innovapack,OP-006
02/01/2018,D02012,,Aluminium Foil 75 SQ.FT.(22.8 m.x30.4 cm.),,3,3395,10185,,เดโชโกรเซอรี่,OP-006
02/01/2018,D02013,,ตรายางบริษัท หมีกในตัว,,1,700,700,,สีลมการพิมพ์,OP-006
