Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/08/2018,PT-8001,1,ค่าบริการวิเคราะห์น้ำและควบคุมบำบัดน้ำเสีย,Month,12," 13,200.00 "," 158,400.00 ",,San.E 68 service,ZU-020
01/08/2018,PT-8002,1,งานซ่อมวาล์ว boiler,Job,1," 115,000.00 "," 115,000.00 ",,Gewinn Engineering,ZU-020
01/05/2018,PT-8004,1,แก๊ส LPG,ถัง,2, 760.00 ," 1,520.00 ",,มาลัยทอง,ZU-020
02/20/2018,PT-8016,1,Cartridge Filter,อัน,100, 65.00 ," 6,500.00 ",,Miona,ZU-020
04/19/2018,PT-8032,1,Clipper,unit,1," 8,200.00 "," 8,200.00 ",,Miona,ZU-020
,,2,Belt filter,unit,1," 32,800.00 "," 32,800.00 ",,Miona,ZU-020
04/20/2018,PT-8036,1,บอลพีวีซี 1. 1/2,ชิ้น,2, 116.00 , 232.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,2,ข้อลด PVC หนา 2*2 .1/2,ชิ้น,2, 18.00 , 36.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,3,กาวทาท่อ 250 กรัม,กระปุก,1, 125.00 , 125.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,4,ข้อต่อเกลียวใน PVC หนา 1/2,ชิ้น,2, 3.25 , 6.50 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,5,สามทางลด PVC หนา 1 .1/2,ชิ้น,2, 29.00 , 58.00 ,,ฮาร์ดแวร์เฮาส์,ZU-020
,,6,ปลั๊กอุด PVC หนา 3/4,ชิ้น,2, 2.25 , 4.50 ,,ฮาร์ดแวร์เฮาส์,ZU-020
05/03/2018,PT-8039,1,ไม้กวาดดอกหญ้า,ด้าม,8, 65.00 , 520.00 ,,ธารทอง,ZU-020
,,2,ไม้กวาดทางมะพร้าว,ด้าม,6, 80.00 , 480.00 ,,ธารทอง,ZU-020
,,3,ที่โกยขยะ อลูมีเนียม,อัน,8, 140.00 ," 1,120.00 ",,ธารทอง,ZU-020
,,4,ตะขอแขวนไม้กวาด,อัน,2, 160.00 , 320.00 ,,ธารทอง,ZU-020
05/04/2018,PT-8043,1,จัมโบ้ บิ๊กแบ๊ก,ใบ,100, 190.00 ," 19,000.00 ",,Miona,ZU-020
05/09/2018,PT-8045,1,ผงซักฟอก แดคโค พลัส 25 กก. แพ็คละ 1 กก.,ลัง,1, 680.00 , 680.00 ,,NPK,ZU-020
06/26/2018,PT-8060,1,"ท่อ PVC ขนาด 1-1/2"" ชั้น 13.5",เส้น,5, 170.00 , 850.00 ,,ธารทอง,ZU-020
,,2,"ข้อต่อตรงลด หนา PVC ขนาด 1""x1/2""",ตัว,1, 6.10 , 6.10 ,,ธารทอง,ZU-020
,,3,"งอหนา 90 องศา PVC ขนาด1-1/2""",ตัว,5, 18.30 , 91.50 ,,ธารทอง,ZU-020
,,4,น้ำยาทาท่อตราช้าง 125 กรัม หลอด,หลอด,2, 135.00 , 270.00 ,,ธารทอง,ZU-020
,,5,"ท่อ PVC ขนาด 1"" ชั้น 13.5",เส้น,2, 101.00 , 202.00 ,,ธารทอง,ZU-020
,,6,"บอลวาล์ว PVC 1/2""",ตัว,5, 30.00 , 150.00 ,,ธารทอง,ZU-020
,,7,"บอลวาล์ว PVC 1""",ตัว,1, 58.00 , 58.00 ,,ธารทอง,ZU-020
,,8,ท่อ PVC สีขาว 20มม.,เส้น,2, 56.00 , 112.00 ,,ธารทอง,ZU-020
,,9,ท่อ PVC สีขาว 25มม.,เส้น,2, 87.00 , 174.00 ,,ธารทอง,ZU-020
07/18/2018,PT-8062,1,Activated cabon Grade PHO Mesh size 4/8,ถุง,20, 73.00 ," 1,460.00 ",,คาร์โบกาญจน์,ZU-020
07/18/2018,PT-8063,1,"Lawitit MonoPlus S108 Gel type, cation resin",ลิตร,600, 255.00 ," 153,000.00 ",,Kurita,ZU-020
,,2,"Lawitit MonoPlus M800 Gel type, anion resin",ลิตร,600, 95.00 ," 57,000.00 ",,Kurita,ZU-020
07/12/2018,PT-8064,1,ทรายหยาบ ถุงละ 25 กก.,ถุง,80, 65.00 ," 5,200.00 ",,ธารทอง,ZU-020
,,2,ชาโค ถ่านหุงต้ม ถุงละ 15 กก.,ถุง,10, 350.00 ," 3,500.00 ",,ธนพล แมชชีน,ZU-020
07/09/2018,PT-8065,,"cartride filter PP5 Micron 20"" ใส้กรองผิวเรียบ",ชิ้น,100, 65.00 ," 6,500.00 ",,Miona,
07/18/2018,PT-8066,1,ค่าทำความสะอาดบ่อพักน้ำ,งาน,1," 10,000.00 "," 10,000.00 ",,Global connection,ZU-020
07/23/2018,PT-8067,2,"สามทางเกลียวใน PVC ขนาด 3/4""",ตัว,2, 12.90 , 25.80 ,,ธารทอง,ZU-020
,,3,"งอหนา 90 องศา PVC ขนาด 3/4""",ตัว,5, 4.70 , 23.50 ,,ธารทอง,ZU-020
,,4,"งอหนา 90 องศา PVC ขนาด 2""",ตัว,15, 27.70 , 415.50 ,,ธารทอง,ZU-020
,,5,น้ำยาทาท่อตราช้าง 125 กรัม หลอด,หลอด,2, 135.00 , 270.00 ,,ธารทอง,ZU-020
,,6,"ข้อต่อตรงเกลียวนอก PVC ขนาด 2""",ตัว,10, 17.30 , 173.00 ,,ธารทอง,ZU-020
,,7,"ท่อสั้นหน้าจาน PVC ขนาด 2""",ตัว,2, 156.00 , 312.00 ,,ธารทอง,ZU-020
,,8,"ข้อต่อตรงลด หนา PVC ขนาด 2-1/2""x2""",ตัว,1, 34.00 , 34.00 ,,ธารทอง,ZU-020
,,9,"สามทางลด หนา PVC ขนาด 1-1/2""x1""",ตัว,1, 29.10 , 29.10 ,,ธารทอง,ZU-020
,,10,"ข้อต่อตรงเกลียวนอก PVC ขนาด 2-1/2""",ตัว,1, 34.90 , 34.90 ,,ธารทอง,ZU-020
08/01/2018,PT-8069,1,"COD reagent 0-1,500 mg/L  , 25 tubes",กล่อง,1," 1,500.00 "," 1,500.00 ",,Materno,ZU-020
08/15/2018,PT-8072,1,"Pnueumatic Actuator Diaphragm Valve""GF""",set,1," 8,415.00 "," 8,415.00 ",,Goshu Technoservice,ZU-020
08/17/2018,PT-8073,1,buffer solution pH 4.0 +/-0.02 (1 Litre),ขวด,1, 580.00 , 580.00 ,,Lab chem,ZU-020
,,2,buffer solution pH 7.0 +/-0.02 (1 Litre),ขวด,1, 580.00 , 580.00 ,,Lab chem,ZU-020
08/28/2018,PT-8074,1,กลึงอุปกรณ์ plug สำหรับ Vessle RO,ชิ้น,4," 1,900.00 "," 7,600.00 ",,อิชิตะ,ZU-020
08/28/2018,PT-8075,1,"เช็ควาล์วทองเหลือง KITZ 1""",ตัว,2, 775.00 ," 1,550.00 ",,ธารทอง,ZU-020
,,2,"ข้อต่อตรงหนา PVC ขนาด 2-1/2""",ตัว,2, 30.10 , 60.20 ,,ธารทอง,ZU-020
,,3,พุกตะปู,กล่อง,1, 17.50 , 17.50 ,,ธารทอง,ZU-020
,,4,"ท่อ PVC ขนาด 3"" ชั้น 13.5",เส้น,3, 600.00 ," 1,800.00 ",,ธารทอง,ZU-020
,,5,"ท่อ PVC ขนาด 1"" ชั้น 13.5",เส้น,8, 101.00 , 808.00 ,,ธารทอง,ZU-020
,,6,"งอหนา 90 องศา PVC 3""",ตัว,9, 82.00 , 738.00 ,,ธารทอง,ZU-020
,,7,"บอลวาล์ว PVC 3""",ตัว,2, 380.00 , 760.00 ,,ธารทอง,ZU-020
,,8,"บอลวาล์ว PVC 1""",ตัว,1, 58.00 , 58.00 ,,ธารทอง,ZU-020
,,9,"สามทางหนา PVC 3""",ตัว,1, 157.00 , 157.00 ,,ธารทอง,ZU-020
,,10,"ข้อต่อตรงเกลียวนอก PVC 1""",ตัว,3, 5.50 , 16.50 ,,ธารทอง,ZU-020
,,11,"ข้อต่อตรงหนา PVC ขนาด 1""",ตัว,3, 50.00 , 150.00 ,,ธารทอง,ZU-020
,,12,น้ำยาทาท่อตราช้าง 125 กรัม หลอด,หลอด,5, 135.00 , 675.00 ,,ธารทอง,ZU-020
,,13,"สามทางลด PVC 2-1/2""x2""",ตัว,4, 87.00 , 348.00 ,,ธารทอง,ZU-020
,,14,"ฝาครอบ PVC 2-1/2""",ตัว,2, 41.80 , 83.60 ,,ธารทอง,ZU-020
