Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
01/08/2018,WW-8002,,โอริง,200   เส้น,200,," 2,000.00 ",,ธารทอง สุวรรณ,
01/08/2018,WW-8002,,ประเก็นกาพ่อนสี,10   เส้น,10,, 220.00 ,,ธารทอง สุวรรณ,
01/08/2018,WW-8002,,กรงดักหนู,2   อัน,2,, 200.00 ,,ธารทอง สุวรรณ,
01/08/2018,WW-8002,,เศษผ้า อย่างดี,1   แพ็ค,1,, 875.00 ,,ธารทอง สุวรรณ,
01/08/2018,WW-8002,,น้ำยาประสานท่อ PVC ตราช้าง,2   โหล,2,," 3,240.00 ",,ธารทอง สุวรรณ,
01/08/2018,WW-8002,,ผงซักฟอก,1   กล่อง,1,, 780.00 ,,ธารทอง สุวรรณ,
01/08/2018,WW-8003,,สีสเปร์ย  TOA. สีดำ,5   โหล,5,," 3,450.00 ",,ธารทอง สุวรรณ,
01/08/2018,WW-8003,,สีสเปร์ย  TOA. สีขาว,5   โหล,5,," 3,450.00 ",,ธารทอง สุวรรณ,
01/15/2018,WW-8007,,วาล์ว PVC 2'' แบบเกลียว,10   ตัว,10,," 1,400.00 ",,ธารทอง สุวรรณ,
01/15/2018,WW-8007,,บอลวาล์วทองเหลือชุบขาว 2'',10   ตัว,10,," 4,820.00 ",,ธารทอง สุวรรณ,
01/15/2018,WW-8007,,ข้อต่อวาล์วเหล็ก  2'',10   ชุด,10,," 8,500.00 ",,TSP part and engineering,
01/15/2018,WW-8007,,ข้อต่อวาล์ PCV  2'',10   ชุด,10,," 5,280.00 ",,TSP part and engineering,
01/22/2018,WW-8012,,ค่าบริการล้างทำความสะอาด  Drum,"2,715   ใบ",2715,," 8,145.00 ",,K.S.WASTE,
02/01/2018,WW-8016,,กระบอกฟ๊อกกี่,4  อัน,4,, 300.00 ,,ธารทอง สุวรรณ,
02/01/2018,WW-8016,,สีสเปร์ย TOA. สีดำ,6  โหล,6,," 4,140.00 ",,ธารทอง สุวรรณ,
02/01/2018,WW-8016,,เศษผ้าอย่างดี,1  แพค,1,, 875.00 ,,ธารทอง สุวรรณ,
02/01/2018,WW-8016,,รองเท้าบู้ท  เบอร์  12,3  คู่,3,, 360.00 ,,ธารทอง สุวรรณ,
02/01/2018,WW-8016,,โซเน๊ก,2  กป.,2,, 200.00 ,,ธารทอง สุวรรณ,
02/01/2018,WW-8017,,ขวด  16 ออนด์ ฝาขาว (24x15),360  ใบ,360,," 3,024.00 ",,,
02/01/2018,WW-8018,,ไซฟ่อนขนาดเล็ก,3  โหล,3,," 3,420.00 ",,L.Y. Commercial,
02/10/2018,WW-8020,,ประแจปากตาย  ,6  อัน,6,," 1,368.00 ",,Hardearehouse,
02/10/2018,WW-8020,,พลั่วด้ามเหล็ก,2  อัน,2,, 190.00 ,,Hardearehouse,
02/11/2018,WW-8021,,สายคล้องบัตร,4  อัน,4,, 108.00 ,,,
02/11/2018,WW-8021,,ซองใส่บัตร,7  อัน,7,, 119.00 ,,,
02/11/2018,WW-8021,,CRAFT,2  อัน,2,, 158.00 ,,,
02/20/2018,WW-8024,,ตัว STAM  ชื่อผู้ตรวจสอบ,3  อัน,3,," 1,200.00 ",,,
02/21/2018,WW-8025,,ค่าบริการล้างทำความสะอาด  Drum,"2,144  ใบ","2,144",," 6,432.00 ",,K.S.WASTE,
02/26/2018,WW-8027,,STK. ขาวด้าน ตัด A4,2000  แผ่น,2000,," 2,400.00 ",,ส.รุ่งการพิมพ์,
02/26/2018,WW-8028,,LABEL   A17  ตราม้า,96  แพ็ค,96,," 2,697.60 ",,OfficeMate,
02/26/2018,WW-8028,,ถุงหูหิ้ว  HD  อย่างดี  แบบใส  12 x 20 '',40  ก.ก.,40,," 3,800.00 ",,ธนพล,
02/26/2018,WW-8029,,พลาสติกเคลือบ,6  แพ็ค,6,," 2,393.22 ",,OfficeMate,
02/26/2018,WW-8029,,หมึกเติม ตรายาง,5  ขวด,5,, 543.95 ,,OfficeMate,
02/26/2018,WW-8029,,กระดาษการ์ดสี,6  แพ็ค,6,, 554.82 ,,OfficeMate,
02/26/2018,WW-8030,,คลิปบอร์ด พลาสติก,8  อัน,8,, 360.00 ,,OfficeMate,
03/06/2018,WW-8032,,แผ่นอครีลิคใส หนา 1 มิล 3x6 ฟุต,1  แผ่น,1,, 720.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8032,,กรวย ขนาด 6  นิ้ว,12  อัน,12,, 600.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8032,,บีกเกอร์ ขนาด 5000  ml,12  อัน,12,," 9,360.00 ",,ธารทอง สุวรรณ,
03/06/2018,WW-8032,,ถุงใส  10x15'',5  โล,5,, 550.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8032,,เคเบิ้ลไทร์  6 นิ้ว,5  ห่อ,5,, 225.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8032,,เคเบิ้ลไทร์  8 นิ้ว,5  ห่อ,5,, 300.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8033,,ไม้ขนไก่ อย่างดี,12  อัน,12,," 2,280.00 ",,ธารทอง สุวรรณ,
03/06/2018,WW-8033,,เทปพันเกลียว,20  ม้วน,20,, 500.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8033,,เศษผ้า อย่างดี,1  แพ็ค,1,, 875.00 ,,ธารทอง สุวรรณ,
03/06/2018,WW-8033,,หนังยาง วงใหญ่,2  ก.ก.,2,, 360.00 ,,ธารทอง สุวรรณ,
03/08/2018,WW-8034,,เทปผ้า แกนใหญ่,2  แพ็ค,2,, 198.00 ,,ธารทอง สุวรรณ,
03/08/2018,WW-8034,,พลาสติกเคลือบบัตร,2  แพ็ค,2,," 1,180.00 ",,ธารทอง สุวรรณ,
