Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
04/14/2018,PS 8046,1,ป้ายทางหนีไฟ ซ้าย#003 17*17ซม.,,3,49.00,147.00,,ไม่มีบันทึก,TP-019
,,2,ซองใสแข็ง A4 AROMA,,5,21.00,105.00,,ไม่มีบันทึก,TP-019
,,3,ป้ายเซฟตี้น้ำชำระล้างฉุกเฉิน G01 30*40 ซม.,,2,43.00,86.00,,ไม่มีบันทึก,TP-019
,,4,ป้ายเซฟตี้ช่วยกันรักษาความสะอาด G04 30*40 ซม.,,2,50.00,100.00,,ไม่มีบันทึก,TP-019
,,5,กล่องตั้งเอกสาร 1 ช่อง 9841 DELI,,4,71.00,284.00,,ไม่มีบันทึก,TP-019
07/05/2018,PS 8055,1,เพลทตัวอักษรภาษาอังกฤษ ขนาด 1นิ้ว,,3,70.00,210.00,,บ.สมใจ(สาย4)จำกัด,TP-019
,,2,เพลทตัวอักษรภาษาอังกฤษ ขนาด 1 1/2 นิ้ว,,3,72.00,216.00,,บ.สมใจ(สาย4)จำกัด,TP-019
   5/25/2018,PS 8067,1,สเกนยู 1 นิ้ว นอก,,1,250.00,250.00,,หจก.อริสราสตีล จำกัด,TP-019
01/06/2018,PS 8070,1,เสียมแทงหน่อ หน้ากว้าง 2.2 นิ้ว,,20,60.00,1200.00,,แสนปัญญาการค้า,TP-019
04/06/2018,PS 8072,1,เกียงแซะรุ่น01041063 mm.,,3,64.00,192.00,,บ.สยามโกบอลเฮ้าส์ จำกัด,TP-019
,,2,เกียงโป๊วรุ่น01031915150 mm.,,3,100.00,300.00,,บ.สยามโกบอลเฮ้าส์ จำกัด,TP-019
04/06/2018,PS 8073,1,แบตเตอรี่แห้ง SPA SL6-5,,2,300.00,600.00,,บ.อมรศูนย์รวมอะไหล่อีเล็คโทรนิคส์ จก.,TP-019
