Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
02/01/18,D01004,,ถังน้ำสี่เหลี่ยมพลาสติก 5.5 lite,,12,70,840,,COL,OP-009
02/01/18,D01008,,น้ำยาล้างห้องน้ำ 3M,,2,189,378,,COL,OP-009
02/01/18,D01005,,ถุงขยะ 40*60,,30,45,1350,,ธนพล,OP-009
02/01/18,D01005,,"กรวยพลาสติก 10""",,6,95,570,,ธนพล,OP-009
02/01/18,D01005,,ถ่านไฟฉาย D,,1,3456,3456,,ธนพล,OP-009
02/01/18,D01005,,มุ้งไนล่อน 26 mesh,,5,600,3000,,ธนพล,OP-009
02/01/18,D01006,,ผงซักฟอกโปร,,4,730,2920,,NPK,OP-009
02/01/18,D01006,,กระดาษทิชชู่ Kimsoft Choice,,2,400,800,,NPK,OP-009
02/01/18,D01006,,สบู่เหลวล้างมือ 3M,,8,120,960,,NPK,OP-009
02/01/18,D01007,,กระดาษทิชชู่ Kimsoft 2ชั้น ม้วนใหญ่,,1,650,650,,NPK,OP-009
02/01/18,D01009,,คลิปหนีบกระดาษ 300 ตัว/กล่อง,,1,650,650,,COL,OP-009
02/01/18,D01010,,สติ๊กเกอร์ A17 ช้าง,,50,27.2,1360,,COL,OP-009
02/01/18,D01010,,สติ๊กเกอร์ A13 ช้าง,,100,27.2,2720,,COL,OP-009
02/01/18,D01010,,น้ำยาเดทตอล,,2,3.3,376.21,,COL,OP-009
02/01/18,D01020,,กระดาษ A4  70แกรม,,60,75,4500,,ROXY,OP-009
02/01/18,D01020,,กระดาษ A3,,5,158,790,,ROXY,OP-009
02/01/18,D01022,,ถ่าน alkaline AA,,12,48,576,,COL,OP-009
02/01/18,D01022,,ถ่าน alkaline AAA,,24,48,1152,,COL,OP-009
02/01/18,D01022,,ถ่าน AA,,14,32,448,,COL,OP-009
02/01/18,D01030,,หมึก EPSON WF-7011 ดำ,,5,430,2150,,Metro system,OP-009
02/01/18,D01030,,หมึก EPSON WF-7011 ฟ้า,,5,450,2250,,Metro system,OP-009
02/01/18,D01030,,หมึก EPSON WF-7011 ชมพู,,5,450,2250,,Metro system,OP-009
02/01/18,D01030,,หมึก EPSON WF-7011 เหลือง,,5,450,2250,,Metro system,OP-009
02/01/18,D01034,,กระดาษสี 80 แกรม ชมพู,,10,135,1350,,สุ่ยเซ้งเครื่องเขียน,OP-009
02/01/18,D01034,,กระดาษสี 80 แกรม โอรส,,3,135,405,,สุ่ยเซ้งเครื่องเขียน,OP-009
02/01/18,D01034,,กระดาษสี 80 แกรม เขียวอ่อน,,2,135,270,,สุ่ยเซ้งเครื่องเขียน,OP-009
02/01/18,D01042,,สีสเปรย์ TOA ดำ,,5,690,3450,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01042,,สีสเปรย์ TOA ขาว,,3,690,2070,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,ถุงพลาสติก 12*20,,10,110,1100,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,TOA สีสเปรย์ แดง,,1,690,690,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,TOA สีสเปรย์ เหลือง,,1,690,690,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,TOA สีสเปรย์ เขียว,,2,690,1380,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,น้ำกลั่น,,2,120,240,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,เศษผ้า,,5,500,2500,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D01054,,ถุงขยะ 40*60,,15,70,1050,,ธารทองสุวรรณภูมิ,OP-009
02/01/18,D02002,,ถุงขยะ 30*40,,30,39,1170,,NPK,OP-009
02/01/18,D02002,,กระดาษทิชชู่ Kimsoft 2ชั้น ม้วนใหญ่,,7,640,4480,,NPK,OP-009
02/01/18,D02004,,ไม้กวาด,,10,35,350,,ธนพล,OP-009
02/01/18,D02004,,ไม้กวาด กทม.,,10,40,400,,ธนพล,OP-009
02/01/18,D02004,,ไม้กวาด หยากไย่,,10,35,350,,ธนพล,OP-009
02/01/18,D02004,,ไม้ยางรีดน้ำ,,10,280,2800,,ธนพล,OP-009
02/01/18,D02004,,ที่ตักขยะ,,10,45,450,,ธนพล,OP-009
02/01/18,D02004,,ไม้ถูพื้น + ผ้า,,10,260,2600,,ธนพล,OP-009
02/01/18,D02005,,กระดาษทิชชู่ Kimsoft 2ชั้น ม้วนใหญ่,,2,640,1280,,NPK,OP-009
02/01/18,D02005,,"ผ้าม็อบ 12""",,12,50,600,,NPK,OP-009
02/01/18,D02007,,เทปพันสายไฟ,,2,60,120,,COL,OP-009
02/01/18,D02007,,น้ำยาล้างจานไลปอนเอฟ,,1,180,180,,COL,OP-009
02/01/18,D02007,,ปากกาเพ้นท์ Uni ขาว,,2,56,112,,COL,OP-009
02/01/18,D02008,,Tin plate,,5,750,3750,,ธนพล,OP-009
02/01/18,D02009,,เทป OPP Unitape,,48,63,3024,,COL,OP-009
02/01/18,D02009,,ปากกาเน้นข้อความ เขียว,,5,19,95,,COL,OP-009
02/01/18,D02009,,ปากกาเน้นข้อความ ส้ม,,5,19,95,,COL,OP-009
02/01/18,D02009,,กาวแท่งช้าง,,6,45,270,,COL,OP-009
02/01/18,D02009,,ขี้ผึ้งนับแบงค์,,1,32,32,,COL,OP-009
02/01/18,D02010,,แฟ้มโชว์เอกสาร A4,,12,55,660,,COL,OP-009
02/01/18,D02010,,"กรรไกร 9""",,1,99,99,,COL,OP-009
02/01/18,D02010,,ป้ายอะคริลิคตั้ง L,,6,60,360,,COL,OP-009
02/01/18,D02010,,กระดานดำแม่เหล็ก,,2,420,840,,COL,OP-009
02/01/18,D02010,,ซองถนอมเอกสาร 11 รู,,1,415,415,,COL,OP-009
02/01/18,D02010,,เทปใสหลุยส์ 3/4,,3,255,765,,COL,OP-009
02/01/18,D02010,,ลวดเสียบกลม 32 มม.,,6,82,492,,COL,OP-009
02/01/18,D02011,,ผ้าขนหนู,,3,95,285,,COL,OP-009
02/01/18,D02011,,กระดาษชำระ Soft box scott,,3,115,345,,COL,OP-009
02/01/18,D02011,,สเปรย์ปรับอากาศ Mixz,,6,130,780,,COL,OP-009
02/01/18,D02011,,สเปรย์ปรับอากาศ เกลด,,3,137,411,,COL,OP-009
02/01/18,D02011,,ไม้กวาดดอกหญ้า,,3,80,240,,COL,OP-009
02/01/18,D02011,,กระดาษสีฟ้า 50 แผ่น,,1,65,65,,COL,OP-009
02/01/18,D02011,,กระดาษสีชมพู 50 แผ่น,,1,65,65,,COL,OP-009
02/01/18,D02011,,สติ๊กเกอร์ ขาวด้าน A4,,1,155,155,,COL,OP-009
