Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
12/15/2018,PT-8501,1,งานเดินท่อ line chiller IRS,Job,1," 140,000.00 "," 140,000.00 ",,Gewinn Engineering,ZU-020
02/05/2018,PT-8502,1,LED T8,Pc.,388," 137,000.00 "," 137,000.00 ",,Valuation Engineering,ZU-020
03/05/2018,PT-8503,1,Stainless Steel cartridge Housing,Job,1," 16,000.00 "," 16,000.00 ",,Miona Intertrade,ZU-020
03/06/2018,PT-8504,1,Water meter,EA,2," 11,000.00 "," 11,000.00 ",,Pako Engineering,ZU-020
03/06/2018,PT-8505,1,Water meter,EA,3," 34,000.00 "," 34,000.00 ",,Pako Engineering,ZU-020
03/13/2018,PT-8506,1,"""STAC"" Vertical multistage pump",EA,1," 66,000.00 "," 66,000.00 ",,Miona Intertrade,ZU-020
03/23/2018,PT-8507,1,Chicago pneumatic air compresor,EA,1," 500,000.00 "," 500,000.00 ",,Poomipat Engineering,ZU-020
03/28/2018,PT-8508,1,งานเดินท่อ condensate,Job,1," 240,000.00 "," 240,000.00 ",,Gewinn Engineering,ZU-020
04/03/2018,PT-8509,1,Basket strainner,EA,1," 25,000.00 "," 25,000.00 ",,Miona Intertrade,ZU-020
04/27/2018,PT-8511,1,Stainless Steel centrifugal pump,EA,1," 21,000.00 "," 21,000.00 ",,Sintorn (1994),ZU-020
04/27/2018,PT-8512,1,EC control valve PW,Job,1," 79,500.00 "," 79,500.00 ",,CI transfer,ZU-020
05/30/2018,PT-8513,1,Rotameter ,EA,2," 11,340.00 "," 11,340.00 ",,Pako Engineering,ZU-020
06/29/2018,PT-8514,1,Level control pump,Job,1," 47,985.00 "," 47,985.00 ",,CI transfer,ZU-020
07/02/2018,PT-8515,1,Vortex flow meter,EA,1," 98,924.00 "," 98,924.00 ",,Yokogawa (Thailand),ZU-020
06/26/2018,PT-8517,1,Pump feed service HFO,Job,1," 148,000.00 "," 148,000.00 ",,JAF Control Technic,ZU-020
06/28/2018,PT-8518,1,Piping flow meter steam,Job,1," 160,000.00 "," 160,000.00 ",,Nihon Tawan Engineering,ZU-020
06/28/2018,PT-8519,1,Globe valve and steam trap,Job,1," 45,560.00 "," 45,560.00 ",,Pako Engineering,ZU-020
06/28/2018,PT-8520,1,pump metering,EA,1," 30,000.00 "," 30,000.00 ",,Miona Intertrade,ZU-020
08/01/2018,PT-8521,1,Hand pallet truck,EA,1," 16,575.00 "," 16,575.00 ",,Premium product industries,ZU-020
08/22/2018,PT-8522,1,Change fuel for DL,Job,1," 2,200,000.00 "," 2,200,000.00 ",,Thai burner industrial heat ,ZU-020
08/28/2018,PT-8524,1,Improvement WWP,Job,1," 227,000.00 "," 227,000.00 ",,TMK Engineering,ZU-020
09/21/2018,PT-8525,1,Improvement WTP,Job,1," 210,000.00 "," 210,000.00 ",,TMK Engineering,ZU-020
10/08/2018,PT-8526,1,Pump self priming,EA,1," 28,000.00 "," 28,000.00 ",,Miona Intertrade,ZU-020
10/12/2018,PT-8527,1,Pump raw water,EA,2," 78,000.00 "," 78,000.00 ",,Miona Intertrade,ZU-020
10/24/2018,PT-8528,1,"""Aquameter"" Oil meter DL",EA,2," 59,500.00 "," 59,500.00 ",,Pako Engineering,ZU-020
