Enter Date,Document No,Item,Short Text,Order Unit,Order Quantity,Order Price,Order Amount,Supplier_Code,Supplier_Name,Enter By
06/25/2018,,,ทำป้ายต่าง ๆ,,1,4800,4800,,แมค โฆษณา,ZH-011
08/01/2018,,,ต้นไทรเกาหลี,,5,500,2500,,ไทรเกาหลี บางปะกง,ZH-011
08/01/2018,,,กระถางทรงรางยาว,,4,2180,8720,,ไทรเกาหลี บางปะกง,ZH-011
08/01/2018,,,ดินปลูกต้นไม้,,16,320,5120,,ไทรเกาหลี บางปะกง,ZH-011
08/01/2018,,,ปุ๋ยมะพร้าว,,1,100,100,,ไทรเกาหลี บางปะกง,ZH-011
08/09/2018,,,ป้ายโฟมบอร์ด,,1,990,990,,เอกรัฐศิลป์ อิงค์เจ็ท,ZH-011
08/20/2018,,,ปากกา,,3,350,1050,,แอนนาบุ๊ค,ZH-011
08/24/2018,,,ก๊าซหุงต้ม L.P.G ,,6,1059.78,6358.68,,บริษัท เฮงเลิศวณิชย์ จำกัด,ZH-011
08/25/2018,,,ชุดสายฉีดชำระ ,,4,195,780,,บริษัท ดูโฮม จำกัด,ZH-011
08/26/2018,,,ชุดตรวจสอบสารเสพติด,,7,1200,8400,,ประภัสร์ฟาร์มาซี,ZH-011
08/30/2018,,,ผ้าเย็น,,1,227,227,,บริษัท เอก-ชัย ดิสทรีบิวชั่น ซิสเทม จำกัด,ZH-011
10/06/2018,,,ที่คีบอาหาร,,5,39,195,,บิลเงินสด,ZH-011
